g_x: 473, g_y: 2226, g_z: -187, roll: -11.8224017551, pitch: -4.40626132839, yaw: -36.8742139891, addr: dcb2, time[s]: 1813.29, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 466, g_y: 2222, g_z: -181, roll: -11.8169956604, pitch: -4.406526852, yaw: -36.8830317634, addr: dcb2, time[s]: 1812.37, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 471, g_y: 2220, g_z: -185, roll: -11.8447006152, pitch: -4.40332904281, yaw: -36.9184701999, addr: dcb2, time[s]: 1803.86, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 66, g_y: 2075, g_z: 249, roll: -1.75974936111, pitch: 6.78474578703, yaw: -44.4819621395, addr: db37, time[s]: 1812.83, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 65, g_y: 2065, g_z: 242, roll: -1.74926427368, pitch: 6.8023770666, yaw: -44.5032347637, addr: db37, time[s]: 1810.3, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 53, g_y: 2067, g_z: 253, roll: -1.751448867, pitch: 6.79237809654, yaw: -44.4959298764, addr: db37, time[s]: 1811.25, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 60, g_y: 2070, g_z: 243, roll: -1.76692596894, pitch: 6.79257787957, yaw: -44.4696643839, addr: db37, time[s]: 1814.26, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 86, g_y: 2175, g_z: -119, roll: -2.3032428813, pitch: -2.90227587127, yaw: 62.8162662494, addr: dca4, time[s]: 1808.92, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 807, g_y: 12392, g_z: 3072, roll: -3.59156148684, pitch: 1.30117291484, yaw: -0.0336413230245, addr: dcc2, time[s]: 1814.44, roll_offset: -3.61400250024, pitch_offset: 1.25830419301
g_x: 61, g_y: 2070, g_z: 254, roll: -1.76700184807, pitch: 6.79451253066, yaw: -44.4630151948, addr: db37, time[s]: 1815.36, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 64, g_y: 2068, g_z: 254, roll: -1.76430125531, pitch: 6.79316442207, yaw: -44.4670620819, addr: db37, time[s]: 1814.9, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 86, g_y: 2163, g_z: -120, roll: -2.31451141277, pitch: -2.92343195534, yaw: 62.8589959128, addr: dca4, time[s]: 1814.91, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 59, g_y: 2068, g_z: 240, roll: -1.76917203396, pitch: 6.7961568987, yaw: -44.4628102891, addr: db37, time[s]: 1815.82, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 467, g_y: 2225, g_z: -164, roll: -11.8265912224, pitch: -4.40269682342, yaw: -36.8654474413, addr: dcb2, time[s]: 1814.9, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: -191, g_y: 2061, g_z: 388, roll: 5.18519744568, pitch: 10.5706005425, yaw: 32.8341331894, addr: dcd5, time[s]: 1813.75, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: 463, g_y: 2235, g_z: -170, roll: -11.825159444, pitch: -4.40026698362, yaw: -36.8470981381, addr: dcb2, time[s]: 1816.3, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 472, g_y: 2221, g_z: -174, roll: -11.8303179444, pitch: -4.39603055879, yaw: -36.8440108926, addr: dcb2, time[s]: 1816.8, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 54, g_y: 2092, g_z: 281, roll: -1.44452161676, pitch: 7.78053400717, yaw: -0.105568684472, addr: db0e, time[s]: 1816.32, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 241, g_y: 2048, g_z: 473, roll: -6.52162256765, pitch: 12.9292040281, yaw: -21.7630915166, addr: dcb9, time[s]: 1816.51, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 237, g_y: 2060, g_z: 473, roll: -6.527177219, pitch: 12.9252706929, yaw: -21.7689005925, addr: dcb9, time[s]: 1816.97, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 83, g_y: 2169, g_z: -118, roll: -2.31761487997, pitch: -2.9081387349, yaw: 62.8508543273, addr: dca4, time[s]: 1812.9, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 97, g_y: 2178, g_z: -102, roll: -2.31542110859, pitch: -2.9148303993, yaw: 62.8551641767, addr: dca4, time[s]: 1814.44, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 233, g_y: 2051, g_z: 478, roll: -6.5248737377, pitch: 12.9642172853, yaw: -21.7637455072, addr: dcb9, time[s]: 1805.47, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: -9, g_y: 2132, g_z: -101, roll: 0.313122818784, pitch: -2.40006636231, yaw: 72.0879611797, addr: fc43, time[s]: 1811.45, roll_offset: 0.642487667332, pitch_offset: -1.05497351684
g_x: 65, g_y: 2075, g_z: 256, roll: -1.76279893386, pitch: 6.77558052694, yaw: -44.4052625303, addr: db37, time[s]: 1818.81, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 66, g_y: 2070, g_z: 233, roll: -1.7580554742, pitch: 6.77745968273, yaw: -44.390160982, addr: db37, time[s]: 1819.29, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 59, g_y: 2057, g_z: 245, roll: -1.75709423179, pitch: 6.78703475418, yaw: -44.368533188, addr: db37, time[s]: 1820.42, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 235, g_y: 2055, g_z: 466, roll: -6.51955814298, pitch: 12.9122293004, yaw: -21.7777422723, addr: dcb9, time[s]: 1819.5, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 60, g_y: 2066, g_z: 236, roll: -1.76509110265, pitch: 6.7892724949, yaw: -44.3668153954, addr: db37, time[s]: 1820.88, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 471, g_y: 2226, g_z: -171, roll: -11.8255649865, pitch: -4.3980582712, yaw: -36.8218503439, addr: dcb2, time[s]: 1820.88, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: -184, g_y: 2057, g_z: 376, roll: 5.16568316834, pitch: 10.5645191129, yaw: 32.8618603423, addr: dcd5, time[s]: 1818.18, roll_offset: 5.19183468201, pitch_offset: 10.566140429
g_x: 249, g_y: 2063, g_z: 484, roll: -6.51740065697, pitch: 12.91189889, yaw: -21.7875350561, addr: dcb9, time[s]: 1821.57, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 58, g_y: 2069, g_z: 243, roll: -1.75926281686, pitch: 6.79190595971, yaw: -44.3548284134, addr: db37, time[s]: 1821.81, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 804, g_y: 3100, g_z: 3323, roll: -3.59492748944, pitch: 1.32992587681, yaw: -0.0274273683291, addr: dcc2, time[s]: 1821.57, roll_offset: -3.61400250024, pitch_offset: 1.25830419301
g_x: 64, g_y: 2061, g_z: 249, roll: -1.76555566224, pitch: 6.79328309661, yaw: -44.3592270553, addr: db37, time[s]: 1821.34, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 64, g_y: 2074, g_z: 246, roll: -1.76500231019, pitch: 6.78079025373, yaw: -44.341417337, addr: db37, time[s]: 1823.41, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 88, g_y: 2173, g_z: -106, roll: -2.31090379222, pitch: -2.92655313835, yaw: 62.8794113482, addr: dca4, time[s]: 1817.93, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 72, g_y: 2061, g_z: 247, roll: -1.76376177708, pitch: 6.78379468319, yaw: -44.3593568288, addr: db37, time[s]: 1822.31, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 63, g_y: 2064, g_z: 237, roll: -1.75874575019, pitch: 6.77904642105, yaw: -44.3835800947, addr: db37, time[s]: 1819.8, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 70, g_y: 2070, g_z: 248, roll: -1.76899359527, pitch: 6.78120817593, yaw: -44.351853866, addr: db37, time[s]: 1822.95, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 61, g_y: 2068, g_z: 236, roll: -1.75440505825, pitch: 6.78294603218, yaw: -44.3091446932, addr: db37, time[s]: 1824.33, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 90, g_y: 2177, g_z: -104, roll: -2.30067259573, pitch: -2.92267807321, yaw: 62.901356746, addr: dca4, time[s]: 1824.56, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 466, g_y: 2226, g_z: -167, roll: -11.8289476377, pitch: -4.38625485054, yaw: -36.8267475895, addr: dcb2, time[s]: 1818.81, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 467, g_y: 2229, g_z: -180, roll: -11.8331405201, pitch: -4.44648303176, yaw: -36.8165569473, addr: dcb2, time[s]: 1824.85, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 232, g_y: 2057, g_z: 472, roll: -6.51695242581, pitch: 12.9050977292, yaw: -21.7866471315, addr: dcb9, time[s]: 1825.02, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 242, g_y: 2059, g_z: 469, roll: -6.50949257857, pitch: 12.9023323563, yaw: -21.7860358295, addr: dcb9, time[s]: 1822.97, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 59, g_y: 2089, g_z: 287, roll: -1.43498368448, pitch: 7.78821967753, yaw: -0.0866842386135, addr: db0e, time[s]: 1819.34, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 236, g_y: 2058, g_z: 472, roll: -6.51846958158, pitch: 12.9124273759, yaw: -21.7808141499, addr: dcb9, time[s]: 1819.96, roll_offset: -6.50267391535, pitch_offset: 12.9790353807
g_x: 460, g_y: 2220, g_z: -183, roll: -11.8436504736, pitch: -4.45053888346, yaw: -36.8166628152, addr: dcb2, time[s]: 1825.94, roll_offset: -11.8137163158, pitch_offset: -4.42426698771
g_x: 98, g_y: 2050, g_z: 407, roll: -2.86339950173, pitch: 11.5311590738, yaw: 3.61755078352, addr: db2f, time[s]: 1823.18, roll_offset: -2.8563010142, pitch_offset: 11.5558519152
g_x: 53, g_y: 2092, g_z: 279, roll: -1.43295277041, pitch: 7.79657299888, yaw: -0.0739403195817, addr: db0e, time[s]: 1825.94, roll_offset: -1.44623012455, pitch_offset: 7.77925590802
g_x: 84, g_y: 2176, g_z: -126, roll: -2.29364774617, pitch: -2.92492947431, yaw: 62.9055095011, addr: dca4, time[s]: 1825.99, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 85, g_y: 2173, g_z: -109, roll: -2.29919748832, pitch: -2.92054342565, yaw: 62.9057280671, addr: dca4, time[s]: 1825.02, roll_offset: -2.3157171546, pitch_offset: -2.90914938945
g_x: 62, g_y: 2066, g_z: 256, roll: -1.75922098195, pitch: 6.79807063233, yaw: -44.3177234108, addr: db37, time[s]: 1826.4, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 52, g_y: 2068, g_z: 248, roll: -1.76698936163, pitch: 6.8048231281, yaw: -44.323508581, addr: db37, time[s]: 1827.85, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 65, g_y: 2069, g_z: 260, roll: -1.77198724584, pitch: 6.79538124534, yaw: -44.3337777704, addr: db37, time[s]: 1828.93, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 59, g_y: 2059, g_z: 241, roll: -1.77735428042, pitch: 6.78891860573, yaw: -44.3531789227, addr: db37, time[s]: 1829.39, roll_offset: -1.76002054097, pitch_offset: 6.77649107653
g_x: 806, g_y: -7234, g_z: 3334, roll: -3.61497110644, pitch: 1.18694066901, yaw: -0.0303014238864, addr: dcc2, time[s]: 1828.01, roll_offset: -3.61400250024, pitch_offset: 1.25830419301
