g_x: 14, g_y: 31327, g_z: -1588, roll: 5.84296173823, pitch: 0.194287679128, yaw: -0.222284397752, addr: db0e, time[s]: 636.15, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 74, g_y: 19668, g_z: 468, roll: 2.9990099195, pitch: 0.146887393588, yaw: 0.00384522057866, addr: db4a, time[s]: 637.17, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -25, g_y: 11589, g_z: -180, roll: 2.94860034866, pitch: -0.020976564818, yaw: -0.000539982128436, addr: dccb, time[s]: 638.22, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 425, g_y: 2039, g_z: 300, roll: -11.4710602393, pitch: 8.09868507248, yaw: 87.9732394909, addr: db2f, time[s]: 638.24, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 323, g_y: 2140, g_z: 59, roll: -8.53022240066, pitch: 1.52156785815, yaw: -23.9842280535, addr: fc43, time[s]: 639.14, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 364, g_y: 2049, g_z: -326, roll: -9.87613252095, pitch: -8.68465212402, yaw: 61.058462425, addr: dcb9, time[s]: 639.37, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 416, g_y: 2221, g_z: -125, roll: -10.5123262223, pitch: -2.22460883437, yaw: 48.3479140966, addr: dcb2, time[s]: 639.46, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 9, g_y: 2115, g_z: -116, roll: -0.353990348548, pitch: -3.16288451382, yaw: -13.5308130666, addr: dcd5, time[s]: 639.83, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: 201, g_y: 32631, g_z: -1554, roll: 5.33359781955, pitch: 0.224598204375, yaw: 0.0104613610249, addr: db0e, time[s]: 641.21, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 75, g_y: -26853, g_z: 468, roll: 3.00528003315, pitch: 0.077124695179, yaw: -0.00497642897177, addr: db4a, time[s]: 642.2, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: 417, g_y: 2042, g_z: 281, roll: -11.5196023938, pitch: 8.09097549645, yaw: 87.995410285, addr: db2f, time[s]: 643.28, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 110, g_y: 2096, g_z: -18, roll: -2.95920613833, pitch: -0.205385175724, yaw: -1.21497763506, addr: dccb, time[s]: 643.3, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 320, g_y: 2135, g_z: 48, roll: -8.55418526558, pitch: 1.5189671569, yaw: -23.980001874, addr: fc43, time[s]: 644.2, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 350, g_y: 2051, g_z: -319, roll: -9.8571172743, pitch: -8.77701591839, yaw: 61.0656819349, addr: dcb9, time[s]: 644.43, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 408, g_y: 2224, g_z: -119, roll: -10.6180669422, pitch: -2.46538751677, yaw: 48.3763003628, addr: dcb2, time[s]: 644.49, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 8, g_y: 2116, g_z: -128, roll: -0.339877763661, pitch: -3.17528365504, yaw: -13.4075144917, addr: dcd5, time[s]: 644.77, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: 198, g_y: -10999, g_z: -1530, roll: 4.81537087666, pitch: 0.0842295526692, yaw: 0.00354136804079, addr: db0e, time[s]: 646.27, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 76, g_y: -4314, g_z: 470, roll: 3.02338707809, pitch: 0.216649118161, yaw: 0.0127168192224, addr: db4a, time[s]: 647.23, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: -23, g_y: 31772, g_z: -175, roll: 2.92218907435, pitch: -0.0695657435008, yaw: -0.0157678518847, addr: dccb, time[s]: 648.34, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: 419, g_y: 2038, g_z: 298, roll: -11.5062877937, pitch: 8.09818988376, yaw: 88.016317494, addr: db2f, time[s]: 648.34, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: 316, g_y: 2138, g_z: 51, roll: -8.52315571619, pitch: 1.51244112459, yaw: -23.998615847, addr: fc43, time[s]: 649.26, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 356, g_y: 2053, g_z: -318, roll: -9.82451678139, pitch: -8.84048886634, yaw: 61.0908443518, addr: dcb9, time[s]: 649.37, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 416, g_y: 2217, g_z: -122, roll: -10.6312714054, pitch: -2.63631193353, yaw: 48.397576402, addr: dcb2, time[s]: 649.52, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
g_x: 11, g_y: 2110, g_z: -119, roll: -0.352360868184, pitch: -3.15994902658, yaw: -13.2934195967, addr: dcd5, time[s]: 649.79, roll_offset: -0.238017124856, pitch_offset: -3.26857571481
g_x: 200, g_y: 30737, g_z: -1518, roll: 4.65512140524, pitch: 0.182780157738, yaw: 0.000398648457795, addr: db0e, time[s]: 651.33, roll_offset: 32.9109694025, pitch_offset: 21.4665486085
g_x: 76, g_y: 4207, g_z: 474, roll: 3.00028225567, pitch: 0.209658459566, yaw: 0.0124902565449, addr: db4a, time[s]: 652.26, roll_offset: 3.29249055497, pitch_offset: 0.104705686068
g_x: 413, g_y: 2043, g_z: 301, roll: -11.4960066515, pitch: 8.09322006737, yaw: 88.0103547389, addr: db2f, time[s]: 653.4, roll_offset: -11.3847377473, pitch_offset: 8.2293918413
g_x: -21, g_y: -4143, g_z: -177, roll: 2.9220206675, pitch: -0.0209768566351, yaw: -0.000534907323729, addr: dccb, time[s]: 653.29, roll_offset: 2.91897269559, pitch_offset: -0.0701030672791
g_x: -1551, g_y: 511, g_z: 1287, roll: 71.1995653046, pitch: 40.9675258682, yaw: -24.5062201382, addr: dcc2, time[s]: 653.29, roll_offset: 17.455344141, pitch_offset: -14.4998512777
g_x: 324, g_y: 2139, g_z: 47, roll: -8.53338990088, pitch: 1.5097875961, yaw: -24.0033167247, addr: fc43, time[s]: 654.2, roll_offset: -8.56669731837, pitch_offset: 1.53355686786
g_x: 359, g_y: 2056, g_z: -330, roll: -9.88963238984, pitch: -8.80888045841, yaw: 61.1538050356, addr: dcb9, time[s]: 654.4, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 359, g_y: 2056, g_z: -330, roll: -9.88963238984, pitch: -8.80888045841, yaw: 61.1538050356, addr: dcb9, time[s]: 654.4, roll_offset: -6.7995489414, pitch_offset: 3.03132525201
g_x: 424, g_y: 2226, g_z: -115, roll: -10.6630428841, pitch: -2.77832949562, yaw: 48.4301188383, addr: dcb2, time[s]: 654.55, roll_offset: -87.2651742702, pitch_offset: -2.06420461648
